guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/congress-chief-rahul-gandhi-holds-talks-with-sharad-pawar-hd-kumaraswamy/story-7FjHDD2NjywIFg766S6ksJ.html',"b'Congress chief Rahul Gandhi holds talks with Sharad Pawar, HD Kumaraswamy'","b'Thu, 30 May 2019 06:34:38 GMT '","b'The meetings come ahead of the Congress parliamentary party meeting on June 1, where the newly elected party lawmakers will elect their new leader. '",b'https://www.hindustantimes.com/india-news/congress-chief-rahul-gandhi-holds-talks-with-sharad-pawar-hd-kumaraswamy/story-7FjHDD2NjywIFg766S6ksJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/_aec9c59e-82fb-11e9-a01d-9b31871e8d95.jpg
b'https://www.hindustantimes.com/india-news/modi-govt-s-new-five-year-journey-begins-with-a-glittering-event/story-5ueKPDo7XDiNHUWPKXUuCO.html',"b""Modi govt's new five-year journey begins with a glittering event""","b'Thu, 30 May 2019 06:27:46 GMT '","b'The around 110-minute-long programme was gustily cheered on by Modi and Bharatiya Janata Party supporters with chants of \xe2\x80\x9cBharat Mata Ki Jai\xe2\x80\x9d (which the Telangana MP, G Kishan Reddy, managed to incorporate into his oath), \xe2\x80\x9cHar Har Mahadev\xe2\x80\x9d and \xe2\x80\x9cModi, Modi.\xe2\x80\x9d '",b'https://www.hindustantimes.com/india-news/modi-govt-s-new-five-year-journey-begins-with-a-glittering-event/story-5ueKPDo7XDiNHUWPKXUuCO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/_056b4542-8308-11e9-a01d-9b31871e8d95.jpg
b'https://www.hindustantimes.com/india-news/in-pm-modi-s-new-cabinet-master-strategist-amit-shah-is-big-entry/story-PrDiQhcDsCIhEy71GMtjEM.html',"b""In PM Modi's new cabinet, master strategist Amit Shah is big entry""","b'Thu, 30 May 2019 06:09:29 GMT '",b'Sources told Hindustan Times that Amit Shah is likely to be given the finance ministry after Arun Jaitley ruled himself out.',b'https://www.hindustantimes.com/india-news/in-pm-modi-s-new-cabinet-master-strategist-amit-shah-is-big-entry/story-PrDiQhcDsCIhEy71GMtjEM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/swearing-in-ceremony-of-modi-government_66006476-8300-11e9-9324-f283958e02d5.jpg
b'https://www.hindustantimes.com/cricket/icc-world-cup-2019-extremely-impressed-with-ben-stokes-says-eoin-morgan-after-win-over-south-africa/story-I8KDY0fcUdKfcwH7AipyHL.html',"b'ICC World Cup 2019: Extremely impressed with Ben Stokes, says Eoin Morgan after...'","b'Thu, 30 May 2019 05:58:32 GMT '",b'Ben Stokes starred in all departments as England began their quest to win the World Cup with a 104-run thrashing of South Africa in the tournament opener at the Oval on Thursday.',b'https://www.hindustantimes.com/cricket/icc-world-cup-2019-extremely-impressed-with-ben-stokes-says-eoin-morgan-after-win-over-south-africa/story-I8KDY0fcUdKfcwH7AipyHL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/icc-cricket-world-cup-england-africa-south_2e7e395c-82ff-11e9-9ece-2ab1fd7d8c60.jpg
b'https://www.hindustantimes.com/india-news/pm-modi-takes-oath-in-delhi-his-mother-cheers-him-on-tv-from-ahmedabad/story-k64mS1g2dO8NsZPrb7sx2H.html',"b'PM Modi takes oath in Delhi, his mother cheers him on TV from Ahmedabad'","b'Thu, 30 May 2019 05:53:40 GMT '",b'Photographs circulating on social media showed her overjoyed and clapping when Modi appeared on the TV screen.',b'https://www.hindustantimes.com/india-news/pm-modi-takes-oath-in-delhi-his-mother-cheers-him-on-tv-from-ahmedabad/story-k64mS1g2dO8NsZPrb7sx2H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/modi-s-mother-watch-his-oath-ceremony_d2939f56-8303-11e9-9324-f283958e02d5.jpg
b'https://www.hindustantimes.com/india-news/sushma-swaraj-dropped-from-pm-modi-s-new-team-tweets-her-thank-you-note/story-tCbqZcfaM1MpmFZEynoZ6H.html',"b'Ex-minister Sushma Swaraj tweets farewell note to PM Modi, ends with a prayer'","b'Thu, 30 May 2019 05:49:47 GMT '","b'In the tweet, Sushma Swaraj thanked PM Modi for giving her the opportunity to serve people \xe2\x80\x93 Indians and non-resident Indians \xe2\x80\x93 and for the respect and courtesy extended to her during the last five years.'",b'https://www.hindustantimes.com/india-news/sushma-swaraj-dropped-from-pm-modi-s-new-team-tweets-her-thank-you-note/story-tCbqZcfaM1MpmFZEynoZ6H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/swearing-in-ceremony-of-the-modi-government_25dfcf84-8301-11e9-9324-f283958e02d5.jpg
b'https://www.hindustantimes.com/india-news/10-prominent-faces-in-pm-narendra-modi-s-new-cabinet/story-hOWVsdLtW4tX1o4t18JBvO.html',"b""10 prominent faces in PM&thinsp;Narendra Modi's new cabinet""","b'Thu, 30 May 2019 05:48:30 GMT '",b'Most of the heavyweights of the outgoing Union Cabinet are expected to be retained in Narendra Modi\xe2\x80\x99s new government.',b'https://www.hindustantimes.com/india-news/10-prominent-faces-in-pm-narendra-modi-s-new-cabinet/story-hOWVsdLtW4tX1o4t18JBvO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/swearing-in-ceremony-of-the-modi-government_18b35ebe-8303-11e9-9324-f283958e02d5.jpg
b'https://www.hindustantimes.com/india-news/six-women-ministers-in-modi-government-2-0/story-FoW53pUwBwAfKg0lgiyGNN.html',b'Six women ministers in Modi government 2.0',"b'Thu, 30 May 2019 04:56:23 GMT '","b'Giant killer Smriti Irani, who defeated Congress chief Rahul Gandhi from the Gandhi bastion of Amethi, has taken oath as a Cabinet minister in the new government. Irani has held a number of portfolios earlier. '",b'https://www.hindustantimes.com/india-news/six-women-ministers-in-modi-government-2-0/story-FoW53pUwBwAfKg0lgiyGNN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/30/Pictures/swearing-in-ceremony-of-modi-government_d0a65c0e-82fb-11e9-9324-f283958e02d5.jpg
b'https://www.hindustantimes.com/analysis/how-narendra-modi-conquered-caste-in-2019-elections/story-zp79P848lPSbq8OWKvvZYM.html',b'How Narendra Modi conquered caste in 2019 elections',"b'Wed, 29 May 2019 02:08:33 GMT '","b'Lack of Muslim support for the BJP, Aadhaar-enabled direct cash transfers, EWS quota and the national security pitch contributed to diminished role of caste'",b'https://www.hindustantimes.com/analysis/how-narendra-modi-conquered-caste-in-2019-elections/story-zp79P848lPSbq8OWKvvZYM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/27/Pictures/india-prime-minister-narendra-capital-attends-rally_ee6dc05c-806b-11e9-a01d-9b31871e8d95.jpg
b'https://www.hindustantimes.com/more-lifestyle/not-so-aam-india/story-JcNcXQPDatZHzsibzUBruN.html',b'Not so Aam India',"b'Wed, 29 May 2019 08:12:22 GMT '","b'Check out the unusual mango recipes that Indians have been lapping up, this season'",b'https://www.hindustantimes.com/more-lifestyle/not-so-aam-india/story-JcNcXQPDatZHzsibzUBruN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/29/Pictures/_a2502446-81e5-11e9-a01d-9b31871e8d95.jpg
b'https://www.hindustantimes.com/editorials/india-cannot-afford-unsustainable-tourism/story-bjkKw4oIkXAbm1Q8BBVCgJ.html',b'India cannot afford unsustainable tourism',"b'Tue, 28 May 2019 02:14:48 GMT '",b'The economic value of services that ecosystems provide us must be evaluated',b'https://www.hindustantimes.com/editorials/india-cannot-afford-unsustainable-tourism/story-bjkKw4oIkXAbm1Q8BBVCgJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/28/Pictures/home_da1da088-814a-11e9-9ece-2ab1fd7d8c60.jpg
b'https://www.hindustantimes.com/editorials/the-focus-on-bimstec-was-long-overdue/story-A4qXeQ8qmYb9QcM8CizOQJ.html',b'The focus on BIMSTEC was long overdue',"b'Tue, 28 May 2019 02:14:01 GMT '",b'The invite to BIMSTEC leaders for Narendra Modi\xe2\x80\x99s swearing-in ceremony should be an excellent opportunity to remedy the problems with the regional grouping and use it as a vehicle to enhance trade and connectivity in the region',b'https://www.hindustantimes.com/editorials/the-focus-on-bimstec-was-long-overdue/story-A4qXeQ8qmYb9QcM8CizOQJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/28/Pictures/4th-bimstec-summit_d002cbfa-8127-11e9-9ece-2ab1fd7d8c60.jpg
b'https://www.hindustantimes.com/analysis/how-modi-created-the-hindu-vote-bank/story-sWiNoczCZFkl6Lq9CTyngK.html',b'How Modi created the Hindu vote bank',"b'Tue, 28 May 2019 02:13:25 GMT '","b'As the prime minister of the country, he kept ensuring throughout the past five years that there should be zero caste discrimination in the implementation and last mile delivery of government benefits'",b'https://www.hindustantimes.com/analysis/how-modi-created-the-hindu-vote-bank/story-sWiNoczCZFkl6Lq9CTyngK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/27/Pictures/bjp-nandurbar-rally_b8eb654a-806d-11e9-9ece-2ab1fd7d8c60.jpg
b'https://www.hindustantimes.com/columns/veer-savarkar-should-not-be-treated-as-a-hate-figure/story-cGaPo5otPnlaMRporYmXuM.html',b'Veer Savarkar should not be treated as a hate figure',"b'Tue, 28 May 2019 02:12:34 GMT '","b'Savarkar was a radical and his Hindutva too was a radical break in the Hindu thought: anti-caste, reformist, modernist and futuristic. It was a modern Hindu response to the modern world'",b'https://www.hindustantimes.com/columns/veer-savarkar-should-not-be-treated-as-a-hate-figure/story-cGaPo5otPnlaMRporYmXuM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/27/Pictures/vinayak-savarkar_6e0be86a-807c-11e9-9ece-2ab1fd7d8c60.jpg
b'https://www.hindustantimes.com/editorials/terrorism-is-a-genuine-barrier-to-india-pakistan-dialogue/story-JiUSvDgaOIZgslVngVhw6L.html',b'Terrorism is a genuine barrier to India-Pakistan dialogue',"b'Mon, 27 May 2019 02:09:04 GMT '","b'Jolted by his past experience, Narendra Modi was justified in asking for a halt to terrorism before peace talks could be given a serious consideration'",b'https://www.hindustantimes.com/editorials/terrorism-is-a-genuine-barrier-to-india-pakistan-dialogue/story-JiUSvDgaOIZgslVngVhw6L.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/27/Pictures/delivers-opening-pakistani-ceremony-minister-beijing-speech_e6bc96a0-8050-11e9-a01d-9b31871e8d95.jpg
